m,recv,touched_experts,baseline_layout,final_layout,imageperf_rank0_us,baseline_vs_imageperf_rank0_median_delta_pct,final_vs_imageperf_rank0_median_delta_pct,baseline_rank0_median_us,baseline_rank0_p10_us,baseline_rank0_p90_us,baseline_rank0_min_us,baseline_rank0_max_us,baseline_rank0_median_ci_x10_low_us,baseline_rank0_median_ci_x21_high_us,baseline_mean_rank_median_us,baseline_mean_rank_p10_us,baseline_mean_rank_p90_us,baseline_mean_rank_min_us,baseline_mean_rank_max_us,baseline_mean_rank_median_ci_x10_low_us,baseline_mean_rank_median_ci_x21_high_us,baseline_max_rank_median_us,baseline_max_rank_p10_us,baseline_max_rank_p90_us,baseline_max_rank_min_us,baseline_max_rank_max_us,baseline_max_rank_median_ci_x10_low_us,baseline_max_rank_median_ci_x21_high_us,final_rank0_median_us,final_rank0_p10_us,final_rank0_p90_us,final_rank0_min_us,final_rank0_max_us,final_rank0_median_ci_x10_low_us,final_rank0_median_ci_x21_high_us,final_mean_rank_median_us,final_mean_rank_p10_us,final_mean_rank_p90_us,final_mean_rank_min_us,final_mean_rank_max_us,final_mean_rank_median_ci_x10_low_us,final_mean_rank_median_ci_x21_high_us,final_max_rank_median_us,final_max_rank_p10_us,final_max_rank_p90_us,final_max_rank_min_us,final_max_rank_max_us,final_max_rank_median_ci_x10_low_us,final_max_rank_median_ci_x21_high_us,final_vs_baseline_rank0_median_delta_pct,baseline_over_final_rank0_speedup,final_vs_baseline_mean_rank_median_delta_pct,baseline_over_final_mean_rank_speedup,final_vs_baseline_max_rank_median_delta_pct,baseline_over_final_max_rank_speedup
8,64,39,BN256-standard,BN256-grouped,491.4,2.472527472527486,-8.201058201058187,503.55,489.03,539.1999999999999,482.9,581.8,495.4,511.3,505.75,492.0,528.13,489.8,567.6,497.2,509.2,512.95,495.85,539.1999999999999,494.1,581.8,502.1,517.9,451.1,431.77000000000004,485.53000000000003,425.7,525.0,437.9,461.4,453.45,434.04,474.6,432.3,515.9,437.8,458.6,460.6,438.54,488.17,436.8,532.1,443.2,467.1,-10.416046072882533,1.1162713367324317,-10.341077607513594,1.1153379644944317,-10.205673067550446,1.1136561007381676
16,118,45,BN256-standard,BN256-grouped,536.4,7.391871737509326,-4.5768083519761245,576.05,557.67,649.07,548.2,812.9,565.3,582.0,576.6,559.86,634.8,557.3,799.0,568.9,585.7,584.0999999999999,564.3,649.07,562.5,837.6,575.2,593.5,511.85,493.36,578.7600000000001,480.0,659.9,499.6,521.1,511.15,494.67,567.8400000000001,485.3,639.2,498.0,518.2,519.05,498.99,583.11,487.7,670.1,505.3,526.2,-11.144865897057532,1.1254273713001854,-11.351023239680892,1.1280446053017705,-11.13679164526622,1.1253251131875541
32,241,48,BN256-standard,BN256-grouped,554.7,4.299621416982147,-5.678745267712282,578.55,558.75,593.95,555.0,630.1,569.8,584.1,579.5999999999999,564.1500000000001,593.49,560.2,649.2,572.4,584.1,585.95,568.95,608.43,564.5,667.6,579.2,592.9,523.2,504.83,575.9399999999999,501.0,631.9,515.8,536.3,524.4000000000001,506.09000000000003,582.53,497.7,616.3,513.0,533.6,531.85,511.24,597.72,501.8,641.5,521.2,542.8,-9.567021000777787,1.1057912844036695,-9.52380952380949,1.1052631578947365,-9.232869698779766,1.1017204098900066
64,546,48,BN256-standard,BN256-grouped,568.8,-3.1733473980309346,-4.720464135021086,550.75,529.07,619.63,521.3,811.1,542.1,557.3,549.6,533.44,608.77,529.4,772.5,545.7,561.2,556.5,537.46,624.07,533.8,811.1,552.9,569.6,541.95,525.96,573.63,514.8,638.6,537.8,560.3,549.35,529.32,579.8199999999999,522.3,622.6,539.6,556.4,557.6,533.9200000000001,592.8100000000001,526.5,641.5,546.5,565.0,-1.5978211529732111,1.0162376603007657,-0.04548762736535927,1.0004550832802404,0.1976639712488737,0.9980272596843615
128,984,48,BN256-standard,BN256-grouped,524.4,8.790999237223506,7.9614797864226095,570.5,540.55,613.86,534.9,641.1,558.8,583.2,567.95,545.04,609.2099999999999,536.7,631.3,556.1,588.6,577.4,550.01,625.49,539.4,647.0,565.2,603.6,566.1500000000001,538.1800000000001,606.9200000000001,529.4,638.9,556.9,578.1,560.5,538.35,611.05,535.5,621.4,553.4,571.1,570.6,543.34,628.03,541.0,641.7,560.0,581.4,-0.7624890446976229,1.0076834761105713,-1.3117351879566974,1.0132917038358609,-1.1776931070315078,1.0119172800560812
256,2037,48,BN256-standard,BN256-grouped,540.2,4.322473158089579,4.637171417993335,563.55,545.5500000000001,594.07,542.8,620.3,554.1,573.2,566.0,551.97,586.7,549.6,619.5,558.0,573.6,574.05,555.09,597.88,553.9,634.1,564.2,582.0,565.25,551.44,592.7099999999999,541.5,614.4,560.6,572.9,566.8,550.9,588.2900000000001,549.4,601.1,557.2,570.6,573.3,556.8399999999999,600.52,554.6,614.4,563.7,580.4,0.3016591251885359,0.9969924812030074,0.1413427561837377,0.998588567395907,-0.13065064018813466,1.00130821559393
512,4097,48,BN256-standard,BN256-grouped,1002.2,3.272799840351226,2.474555976850934,1035.0,1022.6,1056.3,1014.0,1106.0,1029.0,1044.0,1041.65,1027.71,1052.0500000000002,1021.2,1095.9,1033.5,1047.4,1050.0,1030.8999999999999,1064.0,1027.0,1112.0,1038.0,1057.0,1027.0,1013.0,1046.2,1008.0,1061.0,1019.0,1032.0,1025.6,1013.0600000000001,1037.8400000000001,1010.6,1052.1,1020.1,1033.6,1032.5,1017.0,1050.1,1013.0,1063.0,1026.0,1043.0,-0.7729468599033784,1.0077896786757545,-1.5408246531944725,1.0156493759750391,-1.6666666666666718,1.0169491525423728
1024,8140,48,BN256-standard,BN256-grouped,1500.1,3.1264582361175908,3.15978934737684,1547.0,1533.8,1570.3,1527.0,1580.0,1542.0,1554.0,1546.85,1537.3899999999999,1564.9199999999998,1535.5,1578.9,1541.8,1556.8,1553.0,1541.9,1576.1000000000001,1539.0,1593.0,1547.0,1565.0,1547.5,1521.9,1571.2,1510.0,1622.0,1539.0,1556.0,1544.1999999999998,1525.3700000000001,1563.8899999999999,1519.9,1610.9,1537.1,1548.8,1553.0,1533.7,1574.5,1525.0,1627.0,1545.0,1561.0,0.03232062055591456,0.9996768982229403,-0.171315900054958,1.001716098950913,0.0,1.0
2048,16409,48,BN128-split,BN256-grouped,2852.3,0.34007642954807515,1.4970374785260976,2862.0,2850.9,2879.1,2846.0,2909.0,2854.0,2870.0,2866.3500000000004,2851.43,2880.05,2848.1,2901.1,2855.1,2869.6,2873.0,2855.0,2888.2,2850.0,2914.0,2862.0,2879.0,2895.0,2879.7,2926.9,2872.0,3064.0,2883.0,2907.0,2892.8999999999996,2878.86,2919.35,2871.0,3032.0,2884.5,2899.1,2899.0,2884.7,2931.5,2875.0,3064.0,2890.0,2909.0,1.1530398322851187,0.9886010362694301,0.9262651106808129,0.9908223581872864,0.9049773755656076,0.9910313901345291
4096,32686,48,BN128-split,BN256-grouped,5337.9,2.1094437887558826,2.156278686374802,5450.5,5427.599999999999,5483.3,5421.0,5508.0,5437.0,5463.0,5452.700000000001,5430.09,5476.82,5419.9,5499.4,5447.5,5461.6,5462.5,5433.8,5490.099999999999,5424.0,5512.0,5454.0,5469.0,5453.0,5437.0,5468.200000000001,5413.0,5480.0,5447.0,5458.0,5449.7,5435.709999999999,5464.63,5407.9,5527.4,5444.0,5457.4,5458.0,5442.5,5477.5,5413.0,5546.0,5450.0,5465.0,0.04586735161911104,0.9995415367687511,-0.05501861463129698,1.0005504890177443,-0.08237986270023256,1.0008244778307072
8192,65538,48,BN128-split,BN256-grouped,10398.5,-1.9522046449007013,1.5386834639611546,10195.5,10174.9,10212.5,10157.0,10237.0,10183.0,10202.0,10192.85,10174.82,10217.830000000002,10163.8,10231.8,10184.8,10199.5,10200.5,10180.0,10227.699999999999,10168.0,10246.0,10188.0,10207.0,10558.5,10535.699999999999,10615.1,10514.0,10723.0,10548.0,10575.0,10560.0,10530.73,10600.07,10522.2,10694.0,10546.1,10572.0,10571.5,10536.9,10615.400000000001,10530.0,10726.0,10555.0,10585.0,3.560394291599245,0.9656201164938202,3.6020347596599445,0.9652320075757576,3.6370766138914767,0.9649056425294423
